github.com/AlDanial/cloc v 2.06  T=6.76 s (234.9 files/s, 27163.4 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                    blank        comment           code
.\ADAPTER_PATTERN_INVESTIGATION.md                                                                                                                         43              0            118
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Global.cs                                                                                    14              0            118
.\tests\LinkCacheHelperTests\TestResults\TestResults.step2.trx                                                                                              0              0            118
.\tests\LinkCacheHelperTests\TestResults\TestResults_step3.trx                                                                                              0              0            118
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Streams\ParsingMeta.cs                                                                                  23             28            117
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\Array2dBinaryTranslation.cs                                                                11              0            117
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\LoadOrderListing.cs                                                                                      27             30            117
.\MunitionAutoPatcher\Services\Implementations\LoadOrderService.cs                                                                                         12             14            116
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\GameCategoryExt.cs                                                                                          11              0            116
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\NavigationMapInfo.cs                                                                          8              0            116
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Archive.cs                                                                                                    14             60            114
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Overlay\AListGroupOverlay.cs                                                                            22              4            114
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Static.cs                                                                                    14              3            114
.\tests\LinkCacheHelperTests\WeaponOmodExtractorCancellationTests.cs                                                                                       12              2            114
